customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C00044,Female,0,No,Yes,65,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card,46.0,2978.85,No
C00045,Female,1,Yes,No,30,No,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Credit card,54.31,1631.59,Yes
C00046,Female,0,No,No,8,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer,71.77,566.29,No
C00047,Female,0,No,Yes,21,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,No,Electronic check,43.68,909.2,No
C00048,Male,0,Yes,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.0,344.32,Yes
C00049,Female,0,Yes,No,18,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card,74.21,1301.2,Yes
C00050,Female,0,Yes,No,66,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,69.25,4558.41,Yes
C00051,Male,1,Yes,No,48,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer,66.51,3099.68,Yes
C00052,Female,0,Yes,No,44,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,48.08,2134.74,Yes
C00053,Male,0,No,No,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.0,120.82,No
C00054,Female,1,No,No,67,No,No phone service,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer,61.95,4171.26,No
C00055,Male,0,Yes,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.22,1001.85,Yes
C00056,Female,0,Yes,No,26,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card,75.35,1942.79,No
C00057,Female,0,Yes,No,26,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,No,Credit card,69.16,1828.18,Yes
C00058,Male,0,No,No,34,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer,51.36,1768.54,No
C00059,Male,0,Yes,No,8,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card,75.43,594.17,Yes
C00060,Male,1,Yes,No,10,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Credit card,64.46,631.95,Yes
C00061,Male,0,No,No,48,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card,67.8,3287.32,No
C00062,Male,0,No,No,55,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card,69.35,3821.21,Yes
C00063,Male,0,No,No,54,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Credit card,54.52,2975.42,No
C00064,Male,0,No,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,19.7,716.33,No
C00065,Male,0,Yes,Yes,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,19.56,296.35,Yes
C00066,Female,0,No,No,18,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,One year,No,Mailed check,44.73,757.82,No
C00067,Female,0,No,No,23,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,21.34,490.05,No
C00068,Male,0,Yes,No,62,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer,56.83,3544.87,Yes
C00069,Female,0,Yes,Yes,46,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer,75.34,3517.81,Yes
C00070,Female,0,Yes,Yes,39,Yes,No,DSL,Yes,No,No,No,No,No,Two year,No,Electronic check,43.47,1667.18,No
C00071,Female,0,No,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,18.0,254.23,No
C00072,Female,0,Yes,No,53,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Bank transfer,48.63,2574.52,No
C00073,Male,0,No,Yes,64,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,68.89,4379.72,Yes
C00074,Female,1,No,No,63,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card,77.09,4886.03,No
C00075,Male,0,No,No,16,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Mailed check,48.81,778.86,Yes
C00076,Female,0,Yes,Yes,70,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card,76.27,5342.56,Yes
C00077,Female,0,No,No,66,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer,47.15,3130.51,No
C00078,Female,0,Yes,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card,67.55,876.0,Yes
C00079,Male,0,Yes,No,47,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,22.41,1028.74,Yes
C00080,Female,0,Yes,No,9,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,77.84,698.67,Yes
C00081,Male,0,No,No,63,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Credit card,68.94,4317.53,No
C00082,Female,0,No,No,34,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer,37.19,1267.7,No
C00083,Male,0,No,No,29,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,42.18,1253.13,Yes
C00084,Female,0,Yes,Yes,37,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer,71.49,2609.88,Yes
C00085,Male,1,No,Yes,43,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card,42.63,1787.12,No
C00086,Male,0,No,No,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card,18.0,1153.48,No
C00087,Female,0,No,No,24,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer,50.06,1178.41,No
C00088,Male,0,No,Yes,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,18.0,1278.95,No
C00089,Female,0,No,No,34,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,48.1,1645.01,Yes
C00090,Female,0,Yes,Yes,48,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,64.18,3016.33,Yes
C00091,Female,0,Yes,No,12,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Credit card,42.5,530.7,Yes
C00092,Female,1,Yes,No,23,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card,45.99,1022.68,No
C00093,Female,0,Yes,No,13,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer,64.65,839.78,Yes
C00094,Female,0,No,No,45,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer,52.35,2335.97,No
C00095,Female,0,Yes,Yes,65,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,No,Electronic check,70.98,4597.14,No
C00096,Female,0,No,No,47,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,68.18,3255.28,No
C00097,Female,0,Yes,Yes,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,No,Electronic check,37.02,2156.74,No
C00098,Female,0,Yes,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,18.0,117.14,Yes
C00099,Female,0,Yes,Yes,5,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Mailed check,59.46,301.83,No
C00100,Male,1,No,No,60,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,63.56,3832.2,Yes
C00101,Male,0,No,No,21,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,No,Bank transfer,51.77,1099.69,Yes
C00102,Female,0,Yes,No,24,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card,63.35,1528.03,Yes
C00103,Female,0,No,No,18,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,58.16,1080.09,Yes
C00104,Female,0,Yes,No,21,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,46.55,982.25,No
C00105,Female,0,Yes,Yes,54,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Credit card,45.29,2514.21,Yes
C00106,Female,0,Yes,Yes,10,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,Yes,Mailed check,57.06,599.42,No
C00107,Female,0,No,No,24,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,42.05,975.01,Yes
C00108,Female,0,Yes,Yes,60,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,One year,No,Credit card,65.3,3912.7,No
C00109,Female,0,Yes,Yes,57,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,69.76,3988.23,Yes
C00110,Male,0,Yes,No,23,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,50.28,1157.77,Yes
C00111,Female,1,No,No,22,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card,49.8,1116.21,Yes
C00112,Male,0,Yes,No,68,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Credit card,58.14,3977.43,No
C00113,Female,0,No,No,34,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card,42.72,1411.69,Yes
C00114,Female,0,Yes,No,70,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer,49.63,3512.53,No
C00115,Male,0,No,Yes,28,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,55.09,1527.62,No
C00116,Female,0,Yes,No,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,29.07,1115.85,Yes
C00117,Male,1,Yes,No,42,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,68.81,2872.05,Yes
C00118,Female,0,No,No,23,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card,49.35,1159.31,No
C00119,Female,0,No,Yes,70,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,52.5,3666.99,Yes
C00120,Male,0,Yes,No,2,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card,77.47,135.03,No
C00121,Female,0,No,Yes,24,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,67.57,1608.96,Yes
C00122,Male,0,Yes,Yes,17,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card,73.46,1194.98,Yes
C00123,Female,0,Yes,Yes,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card,18.0,1144.74,No
C00124,Male,1,Yes,No,70,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,71.65,4978.31,No
C00125,Male,0,No,No,69,Yes,No,DSL,No,No,Yes,No,Yes,No,One year,No,Electronic check,49.85,3431.57,Yes
C00126,Female,0,Yes,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,63.55,3832.93,No
C00127,Female,0,No,No,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,18.0,916.62,No
C00128,Male,0,Yes,No,12,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,74.77,934.94,Yes
C00129,Female,0,No,Yes,47,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,One year,No,Electronic check,68.08,3230.78,No
C00130,Female,0,No,Yes,67,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,50.18,3346.2,No
C00131,Female,0,Yes,No,65,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,54.24,3526.17,No
C00132,Male,0,No,No,27,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,68.29,1842.85,No
C00133,Male,0,Yes,No,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,26.0,1183.47,No
C00134,Male,0,Yes,Yes,62,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,70.68,4345.64,Yes
C00135,Male,1,Yes,Yes,44,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Credit card,49.72,2182.66,No
C00136,Male,0,Yes,Yes,19,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,48.59,918.02,Yes
C00137,Male,0,Yes,No,59,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,One year,No,Mailed check,42.65,2531.72,No
C00138,Male,0,No,No,8,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,73.98,605.75,Yes
C00139,Male,1,Yes,No,55,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,47.74,2572.58,Yes
C00140,Male,1,No,No,47,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer,70.49,3328.59,No
C00141,Female,0,No,No,2,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer,52.79,110.94,Yes
C00142,Male,1,Yes,No,39,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,65.0,2553.7,No
C00143,Female,0,No,Yes,45,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer,69.3,3150.51,Yes
C00144,Female,0,Yes,No,32,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,66.12,2111.55,Yes
C00145,Female,0,No,No,65,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,50.92,3347.17,No
C00146,Male,0,No,Yes,38,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Two year,No,Mailed check,56.09,2104.74,Yes
C00147,Male,0,No,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,18.0,169.63,No
C00148,Male,0,Yes,No,10,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,68.64,699.26,Yes
C00149,Male,0,No,No,59,Yes,No,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Bank transfer,44.24,2599.1,Yes
C00150,Female,0,Yes,No,55,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,60.25,3321.6,Yes
C00151,Male,0,No,No,20,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,48.2,1023.79,Yes
C00152,Male,0,No,No,17,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer,40.33,697.41,Yes
C00153,Male,0,No,Yes,68,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,One year,No,Credit card,70.08,4771.81,No
C00154,Male,0,No,Yes,5,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Mailed check,70.04,324.12,No
C00155,Male,0,Yes,Yes,60,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,40.11,2355.6,No
C00156,Female,1,Yes,Yes,23,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card,46.5,1067.32,Yes
C00157,Male,0,No,No,46,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer,52.18,2432.29,Yes
C00158,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,22.62,1166.55,Yes
C00159,Male,0,Yes,Yes,10,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,69.98,711.84,Yes
C00160,Female,0,Yes,No,46,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,70.09,3266.93,Yes
C00161,Male,0,Yes,Yes,28,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,60.31,1730.73,No
C00162,Male,0,Yes,No,43,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,53.0,2291.86,Yes
C00163,Female,1,No,Yes,26,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer,60.25,1571.6,Yes
C00164,Female,0,No,No,55,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,45.16,2438.24,Yes
C00165,Female,1,Yes,Yes,48,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer,65.88,3143.33,No
C00166,Male,1,Yes,No,29,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Credit card,59.21,1708.67,No
C00167,Female,0,Yes,No,27,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,54.49,1445.66,Yes
C00168,Male,1,Yes,No,18,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,50.57,917.71,Yes
C00169,Male,0,Yes,Yes,60,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,One year,No,Bank transfer,45.77,2803.55,No
C00170,Female,0,Yes,Yes,69,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,51.83,3621.8,Yes
C00171,Female,0,No,Yes,21,No,No phone service,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,65.83,1389.75,Yes
C00172,Male,1,No,No,24,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,23.72,592.66,No
C00173,Male,1,No,Yes,3,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card,53.27,137.95,Yes
C00174,Female,0,Yes,No,62,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card,45.24,2848.8,Yes
C00175,Female,0,Yes,No,2,Yes,No,DSL,No,No,No,Yes,No,No,One year,Yes,Bank transfer,37.11,27.36,Yes
C00176,Female,0,Yes,No,66,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,70.63,4688.96,No
C00177,Male,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,One year,No,Bank transfer,50.47,2134.61,No
C00178,Male,0,Yes,Yes,34,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer,64.26,2162.16,No
C00179,Male,0,Yes,Yes,42,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,58.8,2463.34,Yes
C00180,Male,0,No,No,20,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,Yes,Credit card,72.23,1410.57,No
C00181,Male,0,Yes,No,68,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,No,Mailed check,67.44,4553.17,No
C00182,Male,1,No,Yes,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card,18.0,762.27,No
